"Componente","Año","Estado","Municipio","Localidad","Registradas","Apoyadas"
"MOTOR",2014,"JALISCO","AMATITAN","AGUA FRIA",1,0
"EMBARCACION",2014,"JALISCO","AMATITAN","AGUA FRIA",0,0
"HIELERA",2014,"JALISCO","AMATITAN","AGUA FRIA",0,0
"SISTEMA",2014,"JALISCO","AMATITAN","AGUA FRIA",0,0
"MOTOR",2014,"JALISCO","AMATITAN","AGUA PRIETA",2,1
"EMBARCACION",2014,"JALISCO","AMATITAN","AGUA PRIETA",0,0
"HIELERA",2014,"JALISCO","AMATITAN","AGUA PRIETA",0,0
"SISTEMA",2014,"JALISCO","AMATITAN","AGUA PRIETA",0,0
"MOTOR",2014,"JALISCO","AMATITAN","AMATITAN",18,4
"EMBARCACION",2014,"JALISCO","AMATITAN","AMATITAN",0,0
"HIELERA",2014,"JALISCO","AMATITAN","AMATITAN",0,0
"SISTEMA",2014,"JALISCO","AMATITAN","AMATITAN",0,0
"MOTOR",2014,"JALISCO","AMATITAN","LA CANTERA",1,1
"EMBARCACION",2014,"JALISCO","AMATITAN","LA CANTERA",0,0
"HIELERA",2014,"JALISCO","AMATITAN","LA CANTERA",0,0
"SISTEMA",2014,"JALISCO","AMATITAN","LA CANTERA",0,0
"MOTOR",2014,"JALISCO","AMATITAN","LA QUEBRADORA",2,1
"EMBARCACION",2014,"JALISCO","AMATITAN","LA QUEBRADORA",0,0
"HIELERA",2014,"JALISCO","AMATITAN","LA QUEBRADORA",0,0
"SISTEMA",2014,"JALISCO","AMATITAN","LA QUEBRADORA",0,0
"MOTOR",2014,"JALISCO","AYUTLA","EL SALTO (CERRITOS)",2,1
"EMBARCACION",2014,"JALISCO","AYUTLA","EL SALTO (CERRITOS)",0,0
"HIELERA",2014,"JALISCO","AYUTLA","EL SALTO (CERRITOS)",0,0
"SISTEMA",2014,"JALISCO","AYUTLA","EL SALTO (CERRITOS)",0,0
"MOTOR",2014,"JALISCO","CABO CORRIENTES","CHIMO",2,2
"EMBARCACION",2014,"JALISCO","CABO CORRIENTES","CHIMO",2,0
"HIELERA",2014,"JALISCO","CABO CORRIENTES","CHIMO",0,0
"SISTEMA",2014,"JALISCO","CABO CORRIENTES","CHIMO",0,0
"MOTOR",2014,"JALISCO","CABO CORRIENTES","EL TUITO",3,2
"EMBARCACION",2014,"JALISCO","CABO CORRIENTES","EL TUITO",0,0
"HIELERA",2014,"JALISCO","CABO CORRIENTES","EL TUITO",0,0
"SISTEMA",2014,"JALISCO","CABO CORRIENTES","EL TUITO",0,0
"MOTOR",2014,"JALISCO","CABO CORRIENTES","LOS CORRALES",2,2
"EMBARCACION",2014,"JALISCO","CABO CORRIENTES","LOS CORRALES",1,0
"HIELERA",2014,"JALISCO","CABO CORRIENTES","LOS CORRALES",0,0
"SISTEMA",2014,"JALISCO","CABO CORRIENTES","LOS CORRALES",0,0
"MOTOR",2014,"JALISCO","CABO CORRIENTES","MAITO",0,0
"EMBARCACION",2014,"JALISCO","CABO CORRIENTES","MAITO",1,0
"HIELERA",2014,"JALISCO","CABO CORRIENTES","MAITO",0,0
"SISTEMA",2014,"JALISCO","CABO CORRIENTES","MAITO",0,0
"MOTOR",2014,"JALISCO","CABO CORRIENTES","PIZOTA",0,0
"EMBARCACION",2014,"JALISCO","CABO CORRIENTES","PIZOTA",3,0
"HIELERA",2014,"JALISCO","CABO CORRIENTES","PIZOTA",0,0
"SISTEMA",2014,"JALISCO","CABO CORRIENTES","PIZOTA",0,0
"MOTOR",2014,"JALISCO","CABO CORRIENTES","QUIMIXTO",0,0
"EMBARCACION",2014,"JALISCO","CABO CORRIENTES","QUIMIXTO",1,1
"HIELERA",2014,"JALISCO","CABO CORRIENTES","QUIMIXTO",0,0
"SISTEMA",2014,"JALISCO","CABO CORRIENTES","QUIMIXTO",0,0
"MOTOR",2014,"JALISCO","CABO CORRIENTES","TEHUAMIXTLE (TEHUALMIXTLE)",2,2
"EMBARCACION",2014,"JALISCO","CABO CORRIENTES","TEHUAMIXTLE (TEHUALMIXTLE)",3,0
"HIELERA",2014,"JALISCO","CABO CORRIENTES","TEHUAMIXTLE (TEHUALMIXTLE)",0,0
"SISTEMA",2014,"JALISCO","CABO CORRIENTES","TEHUAMIXTLE (TEHUALMIXTLE)",0,0
"MOTOR",2014,"JALISCO","CABO CORRIENTES","YELAPA",3,3
"EMBARCACION",2014,"JALISCO","CABO CORRIENTES","YELAPA",5,0
"HIELERA",2014,"JALISCO","CABO CORRIENTES","YELAPA",0,0
"SISTEMA",2014,"JALISCO","CABO CORRIENTES","YELAPA",0,0
"MOTOR",2014,"JALISCO","CHAPALA","AJIJIC",4,0
"EMBARCACION",2014,"JALISCO","CHAPALA","AJIJIC",0,0
"HIELERA",2014,"JALISCO","CHAPALA","AJIJIC",0,0
"SISTEMA",2014,"JALISCO","CHAPALA","AJIJIC",0,0
"MOTOR",2014,"JALISCO","CHAPALA","ATOTONILQUILLO",0,0
"EMBARCACION",2014,"JALISCO","CHAPALA","ATOTONILQUILLO",1,0
"HIELERA",2014,"JALISCO","CHAPALA","ATOTONILQUILLO",0,0
"SISTEMA",2014,"JALISCO","CHAPALA","ATOTONILQUILLO",0,0
"MOTOR",2014,"JALISCO","CHAPALA","CHAPALA",32,10
"EMBARCACION",2014,"JALISCO","CHAPALA","CHAPALA",33,6
"HIELERA",2014,"JALISCO","CHAPALA","CHAPALA",0,0
"SISTEMA",2014,"JALISCO","CHAPALA","CHAPALA",0,0
"MOTOR",2014,"JALISCO","CHAPALA","EL TECOLOTE",2,1
"EMBARCACION",2014,"JALISCO","CHAPALA","EL TECOLOTE",0,0
"HIELERA",2014,"JALISCO","CHAPALA","EL TECOLOTE",0,0
"SISTEMA",2014,"JALISCO","CHAPALA","EL TECOLOTE",0,0
"MOTOR",2014,"JALISCO","CHAPALA","SAN NICOLAS DE IBARRA",1,0
"EMBARCACION",2014,"JALISCO","CHAPALA","SAN NICOLAS DE IBARRA",0,0
"HIELERA",2014,"JALISCO","CHAPALA","SAN NICOLAS DE IBARRA",0,0
"SISTEMA",2014,"JALISCO","CHAPALA","SAN NICOLAS DE IBARRA",0,0
"MOTOR",2014,"JALISCO","CHAPALA","SANTA CRUZ DE LA SOLEDAD",7,0
"EMBARCACION",2014,"JALISCO","CHAPALA","SANTA CRUZ DE LA SOLEDAD",0,0
"HIELERA",2014,"JALISCO","CHAPALA","SANTA CRUZ DE LA SOLEDAD",0,0
"SISTEMA",2014,"JALISCO","CHAPALA","SANTA CRUZ DE LA SOLEDAD",0,0
"MOTOR",2014,"JALISCO","CIHUATLAN","BARRA DE NAVIDAD",13,4
"EMBARCACION",2014,"JALISCO","CIHUATLAN","BARRA DE NAVIDAD",18,2
"HIELERA",2014,"JALISCO","CIHUATLAN","BARRA DE NAVIDAD",0,0
"SISTEMA",2014,"JALISCO","CIHUATLAN","BARRA DE NAVIDAD",0,0
"MOTOR",2014,"JALISCO","CIHUATLAN","CIHUATLAN",3,1
"EMBARCACION",2014,"JALISCO","CIHUATLAN","CIHUATLAN",3,0
"HIELERA",2014,"JALISCO","CIHUATLAN","CIHUATLAN",0,0
"SISTEMA",2014,"JALISCO","CIHUATLAN","CIHUATLAN",0,0
"MOTOR",2014,"JALISCO","CIHUATLAN","COLONIA PINAL VILLA",0,0
"EMBARCACION",2014,"JALISCO","CIHUATLAN","COLONIA PINAL VILLA",1,0
"HIELERA",2014,"JALISCO","CIHUATLAN","COLONIA PINAL VILLA",0,0
"SISTEMA",2014,"JALISCO","CIHUATLAN","COLONIA PINAL VILLA",0,0
"MOTOR",2014,"JALISCO","CIHUATLAN","SAN PATRICIO (MELAQUE)",3,0
"EMBARCACION",2014,"JALISCO","CIHUATLAN","SAN PATRICIO (MELAQUE)",5,0
"HIELERA",2014,"JALISCO","CIHUATLAN","SAN PATRICIO (MELAQUE)",0,0
"SISTEMA",2014,"JALISCO","CIHUATLAN","SAN PATRICIO (MELAQUE)",0,0
"MOTOR",2014,"JALISCO","HOSTOTIPAQUILLO","LA MESA DE TECOMATAN",1,1
"EMBARCACION",2014,"JALISCO","HOSTOTIPAQUILLO","LA MESA DE TECOMATAN",0,0
"HIELERA",2014,"JALISCO","HOSTOTIPAQUILLO","LA MESA DE TECOMATAN",0,0
"SISTEMA",2014,"JALISCO","HOSTOTIPAQUILLO","LA MESA DE TECOMATAN",0,0
"MOTOR",2014,"JALISCO","JAMAY","CANASTILLA",1,0
"EMBARCACION",2014,"JALISCO","JAMAY","CANASTILLA",0,0
"HIELERA",2014,"JALISCO","JAMAY","CANASTILLA",0,0
"SISTEMA",2014,"JALISCO","JAMAY","CANASTILLA",0,0
"MOTOR",2014,"JALISCO","JAMAY","JAMAY",69,14
"EMBARCACION",2014,"JALISCO","JAMAY","JAMAY",11,4
"HIELERA",2014,"JALISCO","JAMAY","JAMAY",0,0
"SISTEMA",2014,"JALISCO","JAMAY","JAMAY",0,0
"MOTOR",2014,"JALISCO","JAMAY","LA MALTARAÑA (LA PALMITA)",0,0
"EMBARCACION",2014,"JALISCO","JAMAY","LA MALTARAÑA (LA PALMITA)",1,0
"HIELERA",2014,"JALISCO","JAMAY","LA MALTARAÑA (LA PALMITA)",0,0
"SISTEMA",2014,"JALISCO","JAMAY","LA MALTARAÑA (LA PALMITA)",0,0
"MOTOR",2014,"JALISCO","JILOTLAN DE LOS DOLORES","JILOTLAN DE LOS DOLORES",1,1
"EMBARCACION",2014,"JALISCO","JILOTLAN DE LOS DOLORES","JILOTLAN DE LOS DOLORES",0,0
"HIELERA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","JILOTLAN DE LOS DOLORES",0,0
"SISTEMA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","JILOTLAN DE LOS DOLORES",0,0
"MOTOR",2014,"JALISCO","JOCOTEPEC","CHANTEPEC (EL CHANTE)",1,0
"EMBARCACION",2014,"JALISCO","JOCOTEPEC","CHANTEPEC (EL CHANTE)",1,1
"HIELERA",2014,"JALISCO","JOCOTEPEC","CHANTEPEC (EL CHANTE)",0,0
"SISTEMA",2014,"JALISCO","JOCOTEPEC","CHANTEPEC (EL CHANTE)",0,0
"MOTOR",2014,"JALISCO","JOCOTEPEC","JOCOTEPEC",0,0
"EMBARCACION",2014,"JALISCO","JOCOTEPEC","JOCOTEPEC",2,1
"HIELERA",2014,"JALISCO","JOCOTEPEC","JOCOTEPEC",0,0
"SISTEMA",2014,"JALISCO","JOCOTEPEC","JOCOTEPEC",0,0
"MOTOR",2014,"JALISCO","JOCOTEPEC","JOCOTEPEC",0,0
"EMBARCACION",2014,"JALISCO","JOCOTEPEC","JOCOTEPEC",1,1
"HIELERA",2014,"JALISCO","JOCOTEPEC","JOCOTEPEC",0,0
"SISTEMA",2014,"JALISCO","JOCOTEPEC","JOCOTEPEC",0,0
"MOTOR",2014,"JALISCO","JOCOTEPEC","SAN CRISTOBAL ZAPOTITLAN",1,0
"EMBARCACION",2014,"JALISCO","JOCOTEPEC","SAN CRISTOBAL ZAPOTITLAN",0,0
"HIELERA",2014,"JALISCO","JOCOTEPEC","SAN CRISTOBAL ZAPOTITLAN",0,0
"SISTEMA",2014,"JALISCO","JOCOTEPEC","SAN CRISTOBAL ZAPOTITLAN",0,0
"MOTOR",2014,"JALISCO","JOCOTEPEC","SAN JUAN COSALA",0,0
"EMBARCACION",2014,"JALISCO","JOCOTEPEC","SAN JUAN COSALA",1,0
"HIELERA",2014,"JALISCO","JOCOTEPEC","SAN JUAN COSALA",0,0
"SISTEMA",2014,"JALISCO","JOCOTEPEC","SAN JUAN COSALA",0,0
"MOTOR",2014,"JALISCO","JOCOTEPEC","SAN JUAN COSALA",24,4
"EMBARCACION",2014,"JALISCO","JOCOTEPEC","SAN JUAN COSALA",3,2
"HIELERA",2014,"JALISCO","JOCOTEPEC","SAN JUAN COSALA",0,0
"SISTEMA",2014,"JALISCO","JOCOTEPEC","SAN JUAN COSALA",0,0
"MOTOR",2014,"JALISCO","JOCOTEPEC","SAN PEDRO TESISTAN",4,0
"EMBARCACION",2014,"JALISCO","JOCOTEPEC","SAN PEDRO TESISTAN",13,0
"HIELERA",2014,"JALISCO","JOCOTEPEC","SAN PEDRO TESISTAN",0,0
"SISTEMA",2014,"JALISCO","JOCOTEPEC","SAN PEDRO TESISTAN",0,0
"MOTOR",2014,"JALISCO","LA HUERTA","AGUA CALIENTE NUEVA",1,0
"EMBARCACION",2014,"JALISCO","LA HUERTA","AGUA CALIENTE NUEVA",0,0
"HIELERA",2014,"JALISCO","LA HUERTA","AGUA CALIENTE NUEVA",0,0
"SISTEMA",2014,"JALISCO","LA HUERTA","AGUA CALIENTE NUEVA",0,0
"MOTOR",2014,"JALISCO","LA HUERTA","ARROYO SECO",1,0
"EMBARCACION",2014,"JALISCO","LA HUERTA","ARROYO SECO",0,0
"HIELERA",2014,"JALISCO","LA HUERTA","ARROYO SECO",0,0
"SISTEMA",2014,"JALISCO","LA HUERTA","ARROYO SECO",0,0
"MOTOR",2014,"JALISCO","LA HUERTA","CHAMELA",3,1
"EMBARCACION",2014,"JALISCO","LA HUERTA","CHAMELA",7,0
"HIELERA",2014,"JALISCO","LA HUERTA","CHAMELA",0,0
"SISTEMA",2014,"JALISCO","LA HUERTA","CHAMELA",0,0
"MOTOR",2014,"JALISCO","LA HUERTA","EL REBALSITO DE APAZULCO",8,1
"EMBARCACION",2014,"JALISCO","LA HUERTA","EL REBALSITO DE APAZULCO",5,2
"HIELERA",2014,"JALISCO","LA HUERTA","EL REBALSITO DE APAZULCO",0,0
"SISTEMA",2014,"JALISCO","LA HUERTA","EL REBALSITO DE APAZULCO",0,0
"MOTOR",2014,"JALISCO","LA HUERTA","FRANCISCO VILLA",1,0
"EMBARCACION",2014,"JALISCO","LA HUERTA","FRANCISCO VILLA",1,0
"HIELERA",2014,"JALISCO","LA HUERTA","FRANCISCO VILLA",0,0
"SISTEMA",2014,"JALISCO","LA HUERTA","FRANCISCO VILLA",0,0
"MOTOR",2014,"JALISCO","LA HUERTA","LA MANZANILLA",3,3
"EMBARCACION",2014,"JALISCO","LA HUERTA","LA MANZANILLA",8,1
"HIELERA",2014,"JALISCO","LA HUERTA","LA MANZANILLA",0,0
"SISTEMA",2014,"JALISCO","LA HUERTA","LA MANZANILLA",0,0
"MOTOR",2014,"JALISCO","LA HUERTA","PERULA",2,1
"EMBARCACION",2014,"JALISCO","LA HUERTA","PERULA",15,0
"HIELERA",2014,"JALISCO","LA HUERTA","PERULA",0,0
"SISTEMA",2014,"JALISCO","LA HUERTA","PERULA",0,0
"MOTOR",2014,"JALISCO","LA HUERTA","SAN MATEO",0,0
"EMBARCACION",2014,"JALISCO","LA HUERTA","SAN MATEO",1,0
"HIELERA",2014,"JALISCO","LA HUERTA","SAN MATEO",0,0
"SISTEMA",2014,"JALISCO","LA HUERTA","SAN MATEO",0,0
"MOTOR",2014,"JALISCO","OCOTLAN","AGUA CALIENTE",1,1
"EMBARCACION",2014,"JALISCO","OCOTLAN","AGUA CALIENTE",1,0
"HIELERA",2014,"JALISCO","OCOTLAN","AGUA CALIENTE",0,0
"SISTEMA",2014,"JALISCO","OCOTLAN","AGUA CALIENTE",0,0
"MOTOR",2014,"JALISCO","OCOTLAN","EL FUERTE",1,0
"EMBARCACION",2014,"JALISCO","OCOTLAN","EL FUERTE",0,0
"HIELERA",2014,"JALISCO","OCOTLAN","EL FUERTE",0,0
"SISTEMA",2014,"JALISCO","OCOTLAN","EL FUERTE",0,0
"MOTOR",2014,"JALISCO","OCOTLAN","OCOTLAN",49,25
"EMBARCACION",2014,"JALISCO","OCOTLAN","OCOTLAN",42,4
"HIELERA",2014,"JALISCO","OCOTLAN","OCOTLAN",0,0
"SISTEMA",2014,"JALISCO","OCOTLAN","OCOTLAN",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","PONCITLAN",4,1
"EMBARCACION",2014,"JALISCO","PONCITLAN","PONCITLAN",0,0
"HIELERA",2014,"JALISCO","PONCITLAN","PONCITLAN",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","PONCITLAN",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","AGUA CALIENTE",15,5
"EMBARCACION",2014,"JALISCO","PONCITLAN","AGUA CALIENTE",12,0
"HIELERA",2014,"JALISCO","PONCITLAN","AGUA CALIENTE",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","AGUA CALIENTE",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","CHALPICOTE",12,2
"EMBARCACION",2014,"JALISCO","PONCITLAN","CHALPICOTE",7,0
"HIELERA",2014,"JALISCO","PONCITLAN","CHALPICOTE",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","CHALPICOTE",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","CORRALILLOS",1,0
"EMBARCACION",2014,"JALISCO","PONCITLAN","CORRALILLOS",0,0
"HIELERA",2014,"JALISCO","PONCITLAN","CORRALILLOS",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","CORRALILLOS",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","CUESTA DE MEZCALA",4,0
"EMBARCACION",2014,"JALISCO","PONCITLAN","CUESTA DE MEZCALA",0,0
"HIELERA",2014,"JALISCO","PONCITLAN","CUESTA DE MEZCALA",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","CUESTA DE MEZCALA",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","CUITZEO (LA ESTANCIA)",2,0
"EMBARCACION",2014,"JALISCO","PONCITLAN","CUITZEO (LA ESTANCIA)",3,1
"HIELERA",2014,"JALISCO","PONCITLAN","CUITZEO (LA ESTANCIA)",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","CUITZEO (LA ESTANCIA)",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","EL GUSANO (EL MEZQUITE)",6,3
"EMBARCACION",2014,"JALISCO","PONCITLAN","EL GUSANO (EL MEZQUITE)",2,0
"HIELERA",2014,"JALISCO","PONCITLAN","EL GUSANO (EL MEZQUITE)",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","EL GUSANO (EL MEZQUITE)",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","EL ROMEREÑO (INFONAVIT)",1,1
"EMBARCACION",2014,"JALISCO","PONCITLAN","EL ROMEREÑO (INFONAVIT)",0,0
"HIELERA",2014,"JALISCO","PONCITLAN","EL ROMEREÑO (INFONAVIT)",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","EL ROMEREÑO (INFONAVIT)",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","EL ZAPOTE",2,0
"EMBARCACION",2014,"JALISCO","PONCITLAN","EL ZAPOTE",0,0
"HIELERA",2014,"JALISCO","PONCITLAN","EL ZAPOTE",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","EL ZAPOTE",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","LA ZAPOTERA",25,0
"EMBARCACION",2014,"JALISCO","PONCITLAN","LA ZAPOTERA",5,0
"HIELERA",2014,"JALISCO","PONCITLAN","LA ZAPOTERA",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","LA ZAPOTERA",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","MEZCALA",22,0
"EMBARCACION",2014,"JALISCO","PONCITLAN","MEZCALA",0,0
"HIELERA",2014,"JALISCO","PONCITLAN","MEZCALA",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","MEZCALA",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","PONCITLAN",1,0
"EMBARCACION",2014,"JALISCO","PONCITLAN","PONCITLAN",0,0
"HIELERA",2014,"JALISCO","PONCITLAN","PONCITLAN",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","PONCITLAN",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","SAN JUAN TECOMATLAN",7,2
"EMBARCACION",2014,"JALISCO","PONCITLAN","SAN JUAN TECOMATLAN",3,3
"HIELERA",2014,"JALISCO","PONCITLAN","SAN JUAN TECOMATLAN",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","SAN JUAN TECOMATLAN",0,0
"MOTOR",2014,"JALISCO","PONCITLAN","SAN PEDRO ITZICAN",12,4
"EMBARCACION",2014,"JALISCO","PONCITLAN","SAN PEDRO ITZICAN",12,5
"HIELERA",2014,"JALISCO","PONCITLAN","SAN PEDRO ITZICAN",0,0
"SISTEMA",2014,"JALISCO","PONCITLAN","SAN PEDRO ITZICAN",0,0
"MOTOR",2014,"JALISCO","PUERTO VALLARTA","BOCA DE TOMATLAN",0,0
"EMBARCACION",2014,"JALISCO","PUERTO VALLARTA","BOCA DE TOMATLAN",5,0
"HIELERA",2014,"JALISCO","PUERTO VALLARTA","BOCA DE TOMATLAN",0,0
"SISTEMA",2014,"JALISCO","PUERTO VALLARTA","BOCA DE TOMATLAN",0,0
"MOTOR",2014,"JALISCO","PUERTO VALLARTA","LAS JUNTAS",2,0
"EMBARCACION",2014,"JALISCO","PUERTO VALLARTA","LAS JUNTAS",1,0
"HIELERA",2014,"JALISCO","PUERTO VALLARTA","LAS JUNTAS",0,0
"SISTEMA",2014,"JALISCO","PUERTO VALLARTA","LAS JUNTAS",0,0
"MOTOR",2014,"JALISCO","PUERTO VALLARTA","PUERTO VALLARTA",8,4
"EMBARCACION",2014,"JALISCO","PUERTO VALLARTA","PUERTO VALLARTA",4,0
"HIELERA",2014,"JALISCO","PUERTO VALLARTA","PUERTO VALLARTA",0,0
"SISTEMA",2014,"JALISCO","PUERTO VALLARTA","PUERTO VALLARTA",0,0
"MOTOR",2014,"JALISCO","TAMAZULA DE GORDIANO","TAMAZULA DE GORDIANO",2,0
"EMBARCACION",2014,"JALISCO","TAMAZULA DE GORDIANO","TAMAZULA DE GORDIANO",0,0
"HIELERA",2014,"JALISCO","TAMAZULA DE GORDIANO","TAMAZULA DE GORDIANO",0,0
"SISTEMA",2014,"JALISCO","TAMAZULA DE GORDIANO","TAMAZULA DE GORDIANO",0,0
"MOTOR",2014,"JALISCO","TEPATITLAN DE MORELOS","TEPATITLAN DE MORELOS",0,0
"EMBARCACION",2014,"JALISCO","TEPATITLAN DE MORELOS","TEPATITLAN DE MORELOS",2,2
"HIELERA",2014,"JALISCO","TEPATITLAN DE MORELOS","TEPATITLAN DE MORELOS",0,0
"SISTEMA",2014,"JALISCO","TEPATITLAN DE MORELOS","TEPATITLAN DE MORELOS",0,0
"MOTOR",2014,"JALISCO","TEUCHITLAN","AGUA CALIENTE (LOS HERVORES)",1,0
"EMBARCACION",2014,"JALISCO","TEUCHITLAN","AGUA CALIENTE (LOS HERVORES)",0,0
"HIELERA",2014,"JALISCO","TEUCHITLAN","AGUA CALIENTE (LOS HERVORES)",0,0
"SISTEMA",2014,"JALISCO","TEUCHITLAN","AGUA CALIENTE (LOS HERVORES)",0,0
"MOTOR",2014,"JALISCO","TEUCHITLAN","LA ESTANZUELA",18,0
"EMBARCACION",2014,"JALISCO","TEUCHITLAN","LA ESTANZUELA",0,0
"HIELERA",2014,"JALISCO","TEUCHITLAN","LA ESTANZUELA",0,0
"SISTEMA",2014,"JALISCO","TEUCHITLAN","LA ESTANZUELA",0,0
"MOTOR",2014,"JALISCO","TEUCHITLAN","TEUCHITLAN",10,5
"EMBARCACION",2014,"JALISCO","TEUCHITLAN","TEUCHITLAN",0,0
"HIELERA",2014,"JALISCO","TEUCHITLAN","TEUCHITLAN",0,0
"SISTEMA",2014,"JALISCO","TEUCHITLAN","TEUCHITLAN",0,0
"MOTOR",2014,"JALISCO","TIZAPAN EL ALTO","MISMALOYA",50,13
"EMBARCACION",2014,"JALISCO","TIZAPAN EL ALTO","MISMALOYA",45,2
"HIELERA",2014,"JALISCO","TIZAPAN EL ALTO","MISMALOYA",0,0
"SISTEMA",2014,"JALISCO","TIZAPAN EL ALTO","MISMALOYA",0,0
"MOTOR",2014,"JALISCO","TIZAPAN EL ALTO","NOPAL MANSO",0,0
"EMBARCACION",2014,"JALISCO","TIZAPAN EL ALTO","NOPAL MANSO",1,0
"HIELERA",2014,"JALISCO","TIZAPAN EL ALTO","NOPAL MANSO",0,0
"SISTEMA",2014,"JALISCO","TIZAPAN EL ALTO","NOPAL MANSO",0,0
"MOTOR",2014,"JALISCO","TIZAPAN EL ALTO","TIZAPAN EL ALTO",19,7
"EMBARCACION",2014,"JALISCO","TIZAPAN EL ALTO","TIZAPAN EL ALTO",6,1
"HIELERA",2014,"JALISCO","TIZAPAN EL ALTO","TIZAPAN EL ALTO",0,0
"SISTEMA",2014,"JALISCO","TIZAPAN EL ALTO","TIZAPAN EL ALTO",0,0
"MOTOR",2014,"JALISCO","TIZAPAN EL ALTO","VILLA DEL LAGO (EL BARATILLO)",4,0
"EMBARCACION",2014,"JALISCO","TIZAPAN EL ALTO","VILLA DEL LAGO (EL BARATILLO)",2,0
"HIELERA",2014,"JALISCO","TIZAPAN EL ALTO","VILLA DEL LAGO (EL BARATILLO)",0,0
"SISTEMA",2014,"JALISCO","TIZAPAN EL ALTO","VILLA DEL LAGO (EL BARATILLO)",0,0
"MOTOR",2014,"JALISCO","TIZAPAN EL ALTO","VILLA EMILIANO ZAPATA (EJIDO MODELO)",7,2
"EMBARCACION",2014,"JALISCO","TIZAPAN EL ALTO","VILLA EMILIANO ZAPATA (EJIDO MODELO)",11,2
"HIELERA",2014,"JALISCO","TIZAPAN EL ALTO","VILLA EMILIANO ZAPATA (EJIDO MODELO)",0,0
"SISTEMA",2014,"JALISCO","TIZAPAN EL ALTO","VILLA EMILIANO ZAPATA (EJIDO MODELO)",0,0
"MOTOR",2014,"JALISCO","TLAJOMULCO DE ZUÑIGA","CAJITITLAN",0,0
"EMBARCACION",2014,"JALISCO","TLAJOMULCO DE ZUÑIGA","CAJITITLAN",12,7
"HIELERA",2014,"JALISCO","TLAJOMULCO DE ZUÑIGA","CAJITITLAN",0,0
"SISTEMA",2014,"JALISCO","TLAJOMULCO DE ZUÑIGA","CAJITITLAN",0,0
"MOTOR",2014,"JALISCO","TOMATLAN","CAMPO ACOSTA",0,0
"EMBARCACION",2014,"JALISCO","TOMATLAN","CAMPO ACOSTA",1,0
"HIELERA",2014,"JALISCO","TOMATLAN","CAMPO ACOSTA",0,0
"SISTEMA",2014,"JALISCO","TOMATLAN","CAMPO ACOSTA",0,0
"MOTOR",2014,"JALISCO","TOMATLAN","LA GLORIA",1,0
"EMBARCACION",2014,"JALISCO","TOMATLAN","LA GLORIA",7,5
"HIELERA",2014,"JALISCO","TOMATLAN","LA GLORIA",0,0
"SISTEMA",2014,"JALISCO","TOMATLAN","LA GLORIA",0,0
"MOTOR",2014,"JALISCO","TOMATLAN","LOS DIQUES",1,0
"EMBARCACION",2014,"JALISCO","TOMATLAN","LOS DIQUES",1,0
"HIELERA",2014,"JALISCO","TOMATLAN","LOS DIQUES",0,0
"SISTEMA",2014,"JALISCO","TOMATLAN","LOS DIQUES",0,0
"MOTOR",2014,"JALISCO","TOMATLAN","PRESA CAJON DE PEÑA (LA PRESA)",3,2
"EMBARCACION",2014,"JALISCO","TOMATLAN","PRESA CAJON DE PEÑA (LA PRESA)",5,3
"HIELERA",2014,"JALISCO","TOMATLAN","PRESA CAJON DE PEÑA (LA PRESA)",0,0
"SISTEMA",2014,"JALISCO","TOMATLAN","PRESA CAJON DE PEÑA (LA PRESA)",0,0
"MOTOR",2014,"JALISCO","TOMATLAN","TEQUESQUITE",1,0
"EMBARCACION",2014,"JALISCO","TOMATLAN","TEQUESQUITE",0,0
"HIELERA",2014,"JALISCO","TOMATLAN","TEQUESQUITE",0,0
"SISTEMA",2014,"JALISCO","TOMATLAN","TEQUESQUITE",0,0
"MOTOR",2014,"JALISCO","TUXCUECA","PUERTO CORONA",10,2
